(word -> error) | yaSucced: *word* | spellerFail: *spellerSuggest*
(крем для тела -> крнм доя теда) | yaSucced: крем для тела | spellerFail: крем доя тела
(чистка ушей -> чиступ угей) | yaSucced: чистка ушей | spellerFail: чистую ушей
(чистка ушей -> чиступ цшей) | yaSucced: чистка ушей | spellerFail: чистую ушей
(женская сумка портфель с металлической цепью -> женчкаф чкмка прптфель с меьалличкской йеаью) | yaSucced: женская сумка портфель с металлической цепью | spellerFail: женская чумка портфель с металлической цепью
(женская сумка с портретом -> дкнская мумкп с аортоетом) | yaSucced: женская сумка с портретом | spellerFail: донская сумка с портретом
(женская сумка объемная со складками -> жннсуая чумуа оьхемная со склажкпми) | yaSucced: женская сумка объемная со складками | spellerFail: женская чума объемная со складками
(дамская сумка соломенная через плечо -> дамсувя чцмка соллмннная чкпез поесо) | yaSucced: дамская сумка соломенная через плечо | spellerFail: дамская чумка соломенная через песо
(прибор для выпечки -> приюрр доя ыыречки) | yaSucced: прибор для выпечки | spellerFail: прибор доя выпечки
(прибор для выпечки -> прмблр жля выркчки) | yaSucced: прибор для выпечки | spellerFail: прибор для выручки
(прибор для выпечки -> ррибоп доя выпкчуи) | yaSucced: прибор для выпечки | spellerFail: прибор доя выпечки
(прибор для выпечки -> ппиблр лля вфречки) | yaSucced: прибор для выпечки | spellerFail: прибор для варечки
(детская косметика маникюрный набор для девочек косметический набор декоративной косметики -> детсеач космкттка манмкюрнвй гаьор доя дквосек косметичемуий гаьор днкопативной коммктики) | yaSucced: детская косметика маникюрный набор для девочек косметический набор декоративной косметики | spellerFail: детская косметика маникюрный набор доя девочек косметический набор декоративной косметики
(губка массажная для тела -> гуюеа массвжнвя доя телп) | yaSucced: губка массажная для тела | spellerFail: губка массажная доя тела
(губка антицеллюлитная -> гкюка антицеллюдитеая) | yaSucced: губка антицеллюлитная | spellerFail: глюка антицеллюлитная
(губка детская для тела -> гкбеа деьсквя доя теоа) | yaSucced: губка детская для тела | spellerFail: губка детская доя тела
(детский набор бутылочка мл и стаканчик мл -> детчкиф гаьор бцтвлочка мл и сьакансик мл) | yaSucced: детский набор бутылочка мл и стаканчик мл | spellerFail: детски набор бутылочка мл и стаканчик мл
(воронка мини макс черная -> ворлнуа минт сакс чепеая) | yaSucced: воронка мини макс черная | spellerFail: волна минт сакс черная
(воронка мини макс черная -> воррнкв миги иакс яернаф) | yaSucced: воронка мини макс черная | spellerFail: воронка миги макс черная
(лавровое мыло с восточным ароматом -> давповое мвло с вочточныи аромпиом) | yaSucced: лавровое мыло с восточным ароматом | spellerFail: лавровое мыло с восточные ароматом
(лавровое мыло с восточным ароматом -> лаврлвле иыло с востоснфм аромаьои) | yaSucced: лавровое мыло с восточным ароматом | spellerFail: лавровое мыло с восточном ароматом
(пакетный тест -> ппкетеый течт) | yaSucced: пакетный тест | spellerFail: пакетный тент
(пакетный тест -> пакеинвй темт) | yaSucced: пакетный тест | spellerFail: пакетный тент
(оливковое мыло -> олиыковон мылл) | yaSucced: оливковое мыло | spellerFail: оливковой мыло
(лечебно оздоровительный бальзам против выпадения волос -> лечкбнл оздоррвительныф бвлтзам ппртив ввпаднния волрм) | yaSucced: лечебно оздоровительный бальзам против выпадения волос | spellerFail: лечебно оздоровительный бальзам против выпадения волюм
(щетка бельевая -> шеткв бедбевая) | yaSucced: щетка бельевая | spellerFail: щетка бежевая
(лакмусовая тест полоска -> лаемусрвая течт поломкв) | yaSucced: лакмусовая тест полоска | spellerFail: лакмусовая тест поломки
(контейнер с губкой -> крнткйнер с губелй) | yaSucced: контейнер с губкой | spellerFail: контейнер с рублей
(вакуумный пакет -> вакцусный раеет) | yaSucced: вакуумный пакет | spellerFail: вакуумный ракет
(наименование тест тест тест -> наимеговвние течт тесь иест) | yaSucced: наименование тест тест тест | spellerFail: наименование тест тесь тест
(наименование тест тест тест -> еаименоыание течт тесь ткст) | yaSucced: наименование тест тест тест | spellerFail: наименование тест тесь тест
(наименование тест тест тест -> наименоаанте тесь тнст течт) | yaSucced: наименование тест тест тест | spellerFail: наименование тесь тест тест
(наименование тест тест тест -> намменованин ткст тесь тнст) | yaSucced: наименование тест тест тест | spellerFail: наименование тест тесь тест
(чай черный крупнолистовой -> чаф яерныц крупноличтовлй) | yaSucced: чай черный крупнолистовой | spellerFail: чай черныц крупнолистовой
(расческа детская мультяшная -> расчемкв детсувя мулбияшная) | yaSucced: расческа детская мультяшная | spellerFail: расческа детская мулбияшная
(расческа детская мультяшная -> рпсчесеа детсувя мкльияшная) | yaSucced: расческа детская мультяшная | spellerFail: расческа детская мкльияшная
(крем с гранатом -> коем с грпгатом) | yaSucced: крем с гранатом | spellerFail: коем с гранатом
(угольная маска -> ушольеая мпмка) | yaSucced: угольная маска | spellerFail: угольная мамка
(угольная маска -> угодьнпя мпскв) | yaSucced: угольная маска | spellerFail: угольная москв
(тент автомобильный -> иент автомльильный) | yaSucced: тент автомобильный | spellerFail: дент автомобильный
(грибы древесные моэр -> шрибф лревесеые моэп) | yaSucced: грибы древесные моэр | spellerFail: грибы древесные моп
(грибы древесные моэр -> нриюы древесеык соэр) | yaSucced: грибы древесные моэр | spellerFail: грибы древесные сэр
(медовая маска -> иедовпя самка) | yaSucced: медовая маска | spellerFail: медовая самка
(маски из водорослей -> мамкм из аожорослей) | yaSucced: маски из водорослей | spellerFail: мамам из водорослей
(для лица -> доя лицп) | yaSucced: для лица | spellerFail: доя лица
(для лица -> длч лмца) | yaSucced: для лица | spellerFail: дли лица
(разделители прядей для наращивания волос -> опзделители рпядей ддя наращтваниф вроос) | yaSucced: разделители прядей для наращивания волос | spellerFail: разделители прядей для наращивания врос
(разделители прядей для наращивания волос -> рахделиткли ппяжей жля наращиввнич влоос) | yaSucced: разделители прядей для наращивания волос | spellerFail: разделители пряжей для наращивания волос
(флаконы -> флакрнф) | yaSucced: флаконы | spellerFail: флакон
(резинки для волос шт -> рещиеки лля водрс шт) | yaSucced: резинки для волос шт | spellerFail: резинки для ворс шт
(резинки для волос шт -> пезигки жля врллс шт) | yaSucced: резинки для волос шт | spellerFail: резинки для веллс шт
(серьги сережки для женщин -> сеобги скрежкт доя эннщин) | yaSucced: серьги сережки для женщин | spellerFail: серьги скрежет доя женщин
(серьги сережки для женщин -> чнрьги чеоежки доя жензтн) | yaSucced: серьги сережки для женщин | spellerFail: серьги сережки доя женщин
(фартук для творчества с отдельными нарукавниками -> фвптук доя ьвопчества с отдкльнымм напукавниеами) | yaSucced: фартук для творчества с отдельными нарукавниками | spellerFail: фартук доя творчества с отдельными нарукавниками
(мешочек для хранения -> мешояее лля хрвннния) | yaSucced: мешочек для хранения | spellerFail: мешочке для хранения
(раскраска для мальчиков набор из штук -> рвскраскп доя малбсиков нпблр из шткк) | yaSucced: раскраска для мальчиков набор из штук | spellerFail: раскраска доя мальчиков набор из штук
(раскраска для мальчиков набор из штук -> рпсураска доя мпльчиеов нпбрр из шьук) | yaSucced: раскраска для мальчиков набор из штук | spellerFail: раскраска доя мальчиков набор из штук
(букварь мини жукова -> ьууварь миеи жукоыв) | yaSucced: букварь мини жукова | spellerFail: букварь мини жуков
(раскраски для мальчиков набор из шт -> расервски лля маоьчикоы набрп из шт) | yaSucced: раскраски для мальчиков набор из шт | spellerFail: раскраски для мальчиков набр из шт
(раскраски для мальчиков набор из шт -> раскрпскм доя мпльчиуов нпюор из шт) | yaSucced: раскраски для мальчиков набор из шт | spellerFail: раскраска доя мальчиков набор из шт
(раскраски для мальчиков набор из шт -> раскрпмки доя мальсикоа нпбоо из шт) | yaSucced: раскраски для мальчиков набор из шт | spellerFail: раскраски доя мальчика набор из шт
(раскраска обучающая набор из шт -> раскрвскп обкчпющая наьоп из шт) | yaSucced: раскраска обучающая набор из шт | spellerFail: раскраска обучающая накоп из шт
(жидкое мыло для детей -> жижкле мвло жля деьеф) | yaSucced: жидкое мыло для детей | spellerFail: жикле мыло для детей
(бортики для детской кроватки простынка см стеганное одеяло -> боотмки доя детчуой кроввтуи проствнеа см сьегвнное одеядр) | yaSucced: бортики для детской кроватки простынка см стеганное одеяло | spellerFail: бортики доя деткой кроватки простыней см стеганное одеяло
(мелки для волос штук -> меоуи лля воллм гтук) | yaSucced: мелки для волос штук | spellerFail: мешки для волюм штук
(мыло косметическое с мягкой игрушкой мишка -> мвло космнтияеское с мягулй игрушкрф иишкв) | yaSucced: мыло косметическое с мягкой игрушкой мишка | spellerFail: мыло косметическое с мягкий игрушкоф мишка
(мыло косметическое с мягкой игрушкой мишка -> мыдо космнтичечкое с мягурй тгрушклй сищка) | yaSucced: мыло косметическое с мягкой игрушкой мишка | spellerFail: мыло косметическое с мягкий игрушкой симка
(водонепроницаемый чехол для ноутбука -> водонепроницакиый чнхоо доя нрутюука) | yaSucced: водонепроницаемый чехол для ноутбука | spellerFail: водонепроницаемый чехол доя ноутбука
(расширяющий набор -> расширчюший набро) | yaSucced: расширяющий набор | spellerFail: расширяющий набро
(масло кокоса -> самло еокосв) | yaSucced: масло кокоса | spellerFail: само кокос
(паста для шугаринга средняя гр -> авста ддя шугартгга соеднчя гр) | yaSucced: паста для шугаринга средняя гр | spellerFail: аиста для шугаринга средняя гр
(паста для шугаринга средняя гр -> пвчта жля шугпригга срелнчя гр) | yaSucced: паста для шугаринга средняя гр | spellerFail: почта для шугаринга средняя гр
(массаж -> мвссаэ) | yaSucced: массаж | spellerFail: масса
(массаж -> мачсад) | yaSucced: массаж | spellerFail: масса
(кофе в зернах кг -> уофе в хернаъ кг) | yaSucced: кофе в зернах кг | spellerFail: кофе в черная кг
(кофе в зернах кг -> крфе в щернаъ кг) | yaSucced: кофе в зернах кг | spellerFail: кофе в черная кг
(пилинг для лица -> пмдинг жля дица) | yaSucced: пилинг для лица | spellerFail: пудинг для дица
(с рожками см см -> с оожкамм см см) | yaSucced: с рожками см см | spellerFail: с ножками см см
(косметический набор -> коссетичнский наьоп) | yaSucced: косметический набор | spellerFail: косметический накоп
(кружка кружка для дома -> уркжка крцэка лля дрма) | yaSucced: кружка кружка для дома | spellerFail: кружка краска для дома
(уауа -> уаца) | yaSucced: уауа | spellerFail: цаца
(изотоник -> тзоьоник) | yaSucced: изотоник | spellerFail: зооник
(активное серное мыло -> пктивнре меоное мылр) | yaSucced: активное серное мыло | spellerFail: активное медное мыло
(салфетки для маникюра -> салфетет длч саникбра) | yaSucced: салфетки для маникюра | spellerFail: салфетка для маникюра
(помада матовая помада воск -> помпжа маирвая аомадв ыоск) | yaSucced: помада матовая помада воск | spellerFail: помпа матовая помада воск
(типсорез -> ттпчорез) | yaSucced: типсорез | spellerFail: труборез
(типсорез -> типслрещ) | yaSucced: типсорез | spellerFail: типслрещ
(типсорез -> типчоркз) | yaSucced: типсорез | spellerFail: типчик
(типсорез -> иипморез) | yaSucced: типсорез | spellerFail: саморез
(типсорез -> тиасопез) | yaSucced: типсорез | spellerFail: трапез
(подушка для отдыха -> аожушка лля отдфъа) | yaSucced: подушка для отдыха | spellerFail: ловушка для отдыха
(салфетка для снятия гель лака -> салфеиуа доя мнятич гедь оака) | yaSucced: салфетка для снятия гель лака | spellerFail: салфетка доя снятия гель лака
(салфетка для снятия гель лака -> свлфеткп ддя снчтиф гнль лакв) | yaSucced: салфетка для снятия гель лака | spellerFail: салфетка для снятия гель лак
(салфетка для снятия гель лака -> салфника жля сеяття гедь лакп) | yaSucced: салфетка для снятия гель лака | spellerFail: сальника для снятия гель лак
(салфетка для снятия гель лака -> чалфеька жля чеятия гнль лакв) | yaSucced: салфетка для снятия гель лака | spellerFail: салфетка для снятия гель лак
(кисть дотс -> кимтт лотс) | yaSucced: кисть дотс | spellerFail: кисть лото
(набор косметики для тела антицеллюлитный крем масло для тела для похудения сыворотка -> гаьор космнтиуи лля теоа аетицедлюлитный кркм мвслл лля теоа доя аохуления сфворлтка) | yaSucced: набор косметики для тела антицеллюлитный крем масло для тела для похудения сыворотка | spellerFail: набор косметики для тела антицеллюлитный крем масло для тела доя похудения сыворотка
(рахат лукум -> рахпь лукцс) | yaSucced: рахат лукум | spellerFail: рахат лукас
(жопа с дыркой -> жлпа с дыоеой) | yaSucced: жопа с дыркой | spellerFail: жопа с домой
(жопа с дыркой -> эопа с дыруоф) | yaSucced: жопа с дыркой | spellerFail: опа с дыркой
(жопа с дыркой -> жопп с дыпеой) | yaSucced: жопа с дыркой | spellerFail: бопп с дыней
(кофейный напиток для мужчин -> кофефнвй гапитлк доя мцжяин) | yaSucced: кофейный напиток для мужчин | spellerFail: кофейный напиток доя мужчин
(подушка анатомическая для ног и коленей -> аодушеа анатомичесепя длч нош и колнгей) | yaSucced: подушка анатомическая для ног и коленей | spellerFail: подушка анатомическая для ног и колгейт
(чайный сервиз с подставкой -> чпйнфй сновиз с родставкрй) | yaSucced: чайный сервиз с подставкой | spellerFail: чайный сновид с подставкой
(чайный сервиз с подставкой -> чайгыф сновиз с пожстаакой) | yaSucced: чайный сервиз с подставкой | spellerFail: чайный сновид с подставкой
(кусачки для ногтей -> кучачкм ддя гогткй) | yaSucced: кусачки для ногтей | spellerFail: кусачка для ногтей
(кусачки для ногтей -> кучачкм длч еогтнй) | yaSucced: кусачки для ногтей | spellerFail: кусачка для ногтей
(кусачки для ногтей -> кусачут длч ногиеф) | yaSucced: кусачки для ногтей | spellerFail: кусачую для ногтей
(кусачки для ногтей -> кучачкт жля глгтей) | yaSucced: кусачки для ногтей | spellerFail: кусачка для ногтей
(кусачки для ногтей -> уусачкт доя нргьей) | yaSucced: кусачки для ногтей | spellerFail: кусачки доя ногтей
(подставка для чашки и телефона -> подчтаыка ддя чпшуи и тедеыона) | yaSucced: подставка для чашки и телефона | spellerFail: подставка для чешуи и телефона
(часы трансформер с фонариком -> часв ьрансформео с фонарикли) | yaSucced: часы трансформер с фонариком | spellerFail: часы трансформер с фонарики
(ганпаудер -> гпнпакдер) | yaSucced: ганпаудер | spellerFail: гпнпакдер
(ганпаудер -> гвнпвудер) | yaSucced: ганпаудер | spellerFail: гвнпвудер
(ганпаудер -> ганпацлер) | yaSucced: ганпаудер | spellerFail: канцлер
(бомбочки для ванны шт -> ьомюочки доя ывнны шт) | yaSucced: бомбочки для ванны шт | spellerFail: бомбочки доя ванны шт
(спонжи для лица -> сплежи лля дица) | yaSucced: спонжи для лица | spellerFail: сплети для дица
(спонжи для лица -> споежт доя оица) | yaSucced: спонжи для лица | spellerFail: спот доя лица
(моя любимая игрушка -> мля любмсая мгругка) | yaSucced: моя любимая игрушка | spellerFail: для любимая игрушка
(шапка колокольчик с аппликацией -> щппка уолокольсик с пппликацикй) | yaSucced: шапка колокольчик с аппликацией | spellerFail: щепка колокольчик с аппликацией
(шапка колокольчик с аппликацией -> гппка коллкольчиу с ппплмкацией) | yaSucced: шапка колокольчик с аппликацией | spellerFail: репка колокольчик с аппликацией
(шапка колокольчик с аппликацией -> щаака кллоколтчик с аппоиеацией) | yaSucced: шапка колокольчик с аппликацией | spellerFail: арка колокольчик с аппликацией
(шапка колокольчик с аппликацией -> шпрка еооокольчик с апрликацинй) | yaSucced: шапка колокольчик с аппликацией | spellerFail: шпика колокольчик с аппликацией
(мышь оптическая проводная -> мыщь оптмческач провожгая) | yaSucced: мышь оптическая проводная | spellerFail: мышь оптическая провожая
(стакан для воды мл -> стаупн лля врды мл) | yaSucced: стакан для воды мл | spellerFail: струн для воды мл
(бомбочка для ванн розовые грезы -> ьлмбочка ддя аанн розлвфе грнщы) | yaSucced: бомбочка для ванн розовые грезы | spellerFail: бомбочка для ванн розовое грибы
(бомбочка для ванн розовые грезы -> юомбояка ддя аанн рощоаые гпещы) | yaSucced: бомбочка для ванн розовые грезы | spellerFail: бомбочка для ванн розовые пены
(ядро кедрового ореха -> чдро ккдоового опеъа) | yaSucced: ядро кедрового ореха | spellerFail: ядро кедрового опера
(восковые полоски -> алсковые пллосеи) | yaSucced: восковые полоски | spellerFail: ласковые полости
(сок из носок -> чок из ночлк) | yaSucced: сок из носок | spellerFail: чок из ночник
(ошибки -> ршибкт) | yaSucced: ошибки | spellerFail: ошибка
(ошибки -> лштбки) | yaSucced: ошибки | spellerFail: штуки
(игрушка брелок -> мшрушка бпелоу) | yaSucced: игрушка брелок | spellerFail: марушка брелок
(мультиинструмент -> мцльтиинстоумент) | yaSucced: мультиинструмент | spellerFail: мцльтиинстоумент
(мультиинструмент -> мцлттиинструмент) | yaSucced: мультиинструмент | spellerFail: мцлттиинструмент
(мультиинструмент -> иультиинструиент) | yaSucced: мультиинструмент | spellerFail: иультиинструиент
(мультиинструмент -> мулььиинструмеет) | yaSucced: мультиинструмент | spellerFail: мулььиинструмеет
(мультиинструмент -> мультиинсьрцмент) | yaSucced: мультиинструмент | spellerFail: мультиинсьрцмент
(семена лука -> скмкна лкка) | yaSucced: семена лука | spellerFail: сумка лкка
(семена лука -> сеиееа лкка) | yaSucced: семена лука | spellerFail: семена лкка
(палочки маникюрные -> паорчки маникбргые) | yaSucced: палочки маникюрные | spellerFail: парочки маникюрные
(костюм спортивный костюм детская одежда -> уосьюм мпортивныц крстбм дктскач одеэдп) | yaSucced: костюм спортивный костюм детская одежда | spellerFail: костюм спортивный костюм детская одежды
(профессиональный шампунь косметика для волос уход за волосами шампунь мл -> профессионаобный шаспугь коссеттка доя воолс кход за воолсами гампцнь мл) | yaSucced: профессиональный шампунь косметика для волос уход за волосами шампунь мл | spellerFail: профессиональный шампунь косметика доя волос код за волосами шампунь мл
(серьги серьги бижутерия украшения крупные серьги сережки -> черьгм сеоьгм биэутерич курашения крупеын сеобги мережуи) | yaSucced: серьги серьги бижутерия украшения крупные серьги сережки | spellerFail: серьги серьги бижутерия украшения крупен серьги мережки
(серьги серьги бижутерия украшения асимметричные сережки пусеты -> мерьгм чнрьги бтжутеоия укоагения асимиетоичные скреэки пускиы) | yaSucced: серьги серьги бижутерия украшения асимметричные сережки пусеты | spellerFail: серьги серьги бижутерия украшения асимметричные скрепки пусеты
(скатерть новогодняя -> скаьериь новлгоднчя) | yaSucced: скатерть новогодняя | spellerFail: скатерь новогодняя
(скатерть новогодняя -> скатепьь ноаогрдняя) | yaSucced: скатерть новогодняя | spellerFail: скатерь новогодняя
(многоразовая двусторонняя клейкая лента м -> сногоразоыая двусьоронняф кдейеая лееьа м) | yaSucced: многоразовая двусторонняя клейкая лента м | spellerFail: многоразовая двусторонняя клейкая леера м
(маска венецианская с мишурой вида -> мамкп аегецианская с иишуррй втда) | yaSucced: маска венецианская с мишурой вида | spellerFail: мамка венецианская с мишурой вода
(сумочка из кожи -> сумлска из еожи) | yaSucced: сумочка из кожи | spellerFail: сумка из кожи
(совы -> совф) | yaSucced: совы | spellerFail: сова
(духи бандерос мл -> дуъи банжнрос мл) | yaSucced: духи бандерос мл | spellerFail: духи банное мл
(духи бандерос мл -> жухи баедеррс мл) | yaSucced: духи бандерос мл | spellerFail: духи бандерас мл
(духи бандерос мл -> жухи бандепом мл) | yaSucced: духи бандерос мл | spellerFail: духи бандитом мл
(духи бандерос мл -> дцхи юанжерос мл) | yaSucced: духи бандерос мл | spellerFail: духи сандеро мл
(духи бандерос мл -> жухи баелерос мл) | yaSucced: духи бандерос мл | spellerFail: духи белтрос мл
(оружие игрушечное детское с пульками пистолет автомат меч -> лрудие игрушкяное жетсуое с пуоькамм пистлдет автомвь мнч) | yaSucced: оружие игрушечное детское с пульками пистолет автомат меч | spellerFail: орудие игрушечное детское с пульками пистолет автомат меч
(набор для праздника товары аксессуары -> нпбрр доя пращдникп товврф аесессупры) | yaSucced: набор для праздника товары аксессуары | spellerFail: набор доя праздника товары аксессуары
(детская посуда игрушечная набор игрушки -> детсувя посулп игрущеяная набро мгоушки) | yaSucced: детская посуда игрушечная набор игрушки | spellerFail: детская посулы игрушечная набро игрушки
(неваляшка игрушка детская музыкальная игрушки -> неваоящка игрущкп дктсеая музыуалбная тгоушки) | yaSucced: неваляшка игрушка детская музыкальная игрушки | spellerFail: неваляшка игрушки детская музыкальная игрушки
(неваляшка игрушка детская музыкальная игрушки -> екваляшка игпущка деьскпя музыкпльеая мнрушки) | yaSucced: неваляшка игрушка детская музыкальная игрушки | spellerFail: неваляшка игрушка детская музыкальная мнушки
(подставка под ложку керамика деревянная пластик силикон -> аодставеа плд лоэуу кераимка жеревяннпя плвстмк стлткон) | yaSucced: подставка под ложку керамика деревянная пластик силикон | spellerFail: подставка под ложку кераимка деревянная пластик силикон
(подставка под горячее -> аодстаыка прд горяяке) | yaSucced: подставка под горячее | spellerFail: подставка под горячке
(подставка под горячее -> подставуп пож гррячке) | yaSucced: подставка под горячее | spellerFail: подставка пож горячке
(бумеранг игрушка для детей игрушечный детский -> бумервгг ишрущка доя деиеф игрушкчнвй жетмкий) | yaSucced: бумеранг игрушка для детей игрушечный детский | spellerFail: бумеранг игрушка доя детей игрушечный детский
(бумеранг игрушка для детей игрушечный детский -> бцмкранг игоушуа длч деткц ишркшечный жетскиф) | yaSucced: бумеранг игрушка для детей игрушечный детский | spellerFail: бумеранг игрушка для детки игрушечный детский
(щетка для посуды кухонная железная деревянная силиконовая -> щнткв лля плсудв ккъонная эелезнпя деркыянная силикоеовач) | yaSucced: щетка для посуды кухонная железная деревянная силиконовая | spellerFail: щетку для посуды кухонная железная деревянная силиконовая
(щетка для посуды кухонная железная деревянная силиконовая -> шеткв доя помулы уухоннач жндезная деревягеая смлмконовая) | yaSucced: щетка для посуды кухонная железная деревянная силиконовая | spellerFail: щетка доя посулы кухонная железная деревянная силиконовая
(щетка для посуды кухонная -> щеькп доя помулы еухрнная) | yaSucced: щетка для посуды кухонная | spellerFail: щетка доя посулы кухонная
(щетка для посуды кухонная -> щкткв ддя рлсуды кухоееая) | yaSucced: щетка для посуды кухонная | spellerFail: щетку для посуды кухонная
(коврик для сушки посуды силиконовый -> клвриу лля чущки почцды силтеоновый) | yaSucced: коврик для сушки посуды силиконовый | spellerFail: коврик для чулки посуды силиконовый
(свистулька музыкальные игрушки инструменты детские -> сыичтулька музвкальнве тгрушеи инстпумееты деьскик) | yaSucced: свистулька музыкальные игрушки инструменты детские | spellerFail: свистулька музыкальные игрушки инструменты детский
(набор для приготовления масок косметических -> еабоо жля пригльовления мамлк кочметичесеих) | yaSucced: набор для приготовления масок косметических | spellerFail: hабор для приготовления мамлюк косметических
(сумки для девочек детские -> суикм ддя деаояек жетскме) | yaSucced: сумки для девочек детские | spellerFail: спика для девочек детские
(сумки для девочек детские -> чумкм длч девоянк летскте) | yaSucced: сумки для девочек детские | spellerFail: чумка для девочек детские
(сумки для девочек детские -> чумеи доя дквояек детчеие) | yaSucced: сумки для девочек детские | spellerFail: чуме доя девочек детские
(набор для опытов экспериментов для детей -> набрп жля опвиов экмпепиментов лля днткй) | yaSucced: набор для опытов экспериментов для детей | spellerFail: набр для опытов экспериментов для детей
(набор для опытов экспериментов для детей -> еаьор ддя рпытоы эксперимнниов жля днткй) | yaSucced: набор для опытов экспериментов для детей | spellerFail: hабор для опытов экспериментов для детей
(игровые наборы для мальчиков -> игррвын еабооы доя иальчикоа) | yaSucced: игровые наборы для мальчиков | spellerFail: игровые наборы доя мальчика
(игровые наборы для мальчиков -> игрлвфе наброы доя маоьчиеов) | yaSucced: игровые наборы для мальчиков | spellerFail: игровые наборы доя мальчиков
(игровые наборы для девочек -> игрлвфе габопы жля деыосек) | yaSucced: игровые наборы для девочек | spellerFail: игровые галопы для девочек
(конструктор для мальчиков -> уонмтруктор доя иальчикрв) | yaSucced: конструктор для мальчиков | spellerFail: конструктор доя мальчиков
(половник для кухни -> плловнтк доя кузнм) | yaSucced: половник для кухни | spellerFail: половник доя кузню
(гидрогелевые патчи для глаз с гиалуроновой кислотой и аллантоином -> гмдрогелеыые пвьчи доя глвз с гиалуроговрй ктслоиой и аллагтрином) | yaSucced: гидрогелевые патчи для глаз с гиалуроновой кислотой и аллантоином | spellerFail: гидрогелевые патчи доя глаз с гиалуроновой кислотой и аллантоином
(колпачки для клея -> еолпаски ддя елея) | yaSucced: колпачки для клея | spellerFail: колпачки для елея
(колпачки для клея -> еллпачки длч елея) | yaSucced: колпачки для клея | spellerFail: колпачки для елея
(колпачки для клея -> кодпачкт ддя елея) | yaSucced: колпачки для клея | spellerFail: колпачки для елея
(игрушечное оружие пистолет помповый -> игрцшечнре орудик ристолнт плсповый) | yaSucced: игрушечное оружие пистолет помповый | spellerFail: игрушечное орудие пистолет помповый
(набор металлических детских машинок -> набро мнталлическтх жетскиъ мвщинок) | yaSucced: набор металлических детских машинок | spellerFail: набро металлических детских машинок
(сумка мини -> сцмкв миеи) | yaSucced: сумка мини | spellerFail: самка мини
(сумка мини -> чцмка минм) | yaSucced: сумка мини | spellerFail: чумка мини
(блузка боди боди водолазка -> блкзкп божи бодм водолвзкп) | yaSucced: блузка боди боди водолазка | spellerFail: блузка божи боди водолазка
(блузка боди боди водолазка -> блухуа брди божи водооазкв) | yaSucced: блузка боди боди водолазка | spellerFail: блузка боди божи водолазка
(лапша из полбы -> оапща из аолбф) | yaSucced: лапша из полбы | spellerFail: папка из колба
(лапша из полбы -> лпаша из аолбв) | yaSucced: лапша из полбы | spellerFail: лапша из колба
(стандартная подушка из латекса -> стпнжартная подущкп из латнеса) | yaSucced: стандартная подушка из латекса | spellerFail: стандартная подушка из фитнеса
(стандартная подушка из латекса -> мтандаотная подкшуа из латеусв) | yaSucced: стандартная подушка из латекса | spellerFail: стандартная подушка из латекс
(стандартная подушка из латекса -> стпндартнпя аодушкп из лаиексп) | yaSucced: стандартная подушка из латекса | spellerFail: стандартная подушка из латекс
(консультации и тренинги -> клнсулттации и трентнгм) | yaSucced: консультации и тренинги | spellerFail: консультации и тренинг
(тушь для ресниц сияние глаз -> ткшь доя оемниц чияеие глпз) | yaSucced: тушь для ресниц сияние глаз | spellerFail: тушь доя ресниц сияние глаз
(плед покрывало меховое -> плеж аокрфвало мнховон) | yaSucced: плед покрывало меховое | spellerFail: плед покрывало меховой
(плед покрывало меховое -> плел поурывадо мкховле) | yaSucced: плед покрывало меховое | spellerFail: плел покрывало меховое
(плед покрывало меховое -> плеж покрввалр мкховон) | yaSucced: плед покрывало меховое | spellerFail: плед покрывало меховой
(стол подставка для ноутбука для завтраков переносной -> стлл родставеа длч нруьбука жля хавтрауов пкрнносной) | yaSucced: стол подставка для ноутбука для завтраков переносной | spellerFail: стул подставка для ноутбука для завтраков переносной
(декоративная крем краска для тела -> дееоративнач коем еоаска жля теда) | yaSucced: декоративная крем краска для тела | spellerFail: декоративная коем краска для тела
(чудо банка массажер -> чуло юанкп массажко) | yaSucced: чудо банка массажер | spellerFail: чудо банка массажка
(ионный массажер для лица -> иогнвй ивссажер ддя дица) | yaSucced: ионный массажер для лица | spellerFail: ионный массажер для дица
(корм для кошек индейка кг -> корс длч кощкк игдефка кг) | yaSucced: корм для кошек индейка кг | spellerFail: корс для кошек индейка кг
(стружка для декора -> мтружкп доя деуорв) | yaSucced: стружка для декора | spellerFail: стружка доя декор
(лежак для животных овечка -> леэау ддя жмвоьных лвечуа) | yaSucced: лежак для животных овечка | spellerFail: лежак для животных свеча
(питьевая артезианская вода -> пттьеваф аптезманская вожа) | yaSucced: питьевая артезианская вода | spellerFail: питьевая артезианская вожа
(держатель для телефона настольный -> деожптель доя теоефрна нпсьольный) | yaSucced: держатель для телефона настольный | spellerFail: держатель доя телефона настольный
(крем для загара -> коем ддя звгарп) | yaSucced: крем для загара | spellerFail: коем для загара
(крем для загара -> крес ддя зпнара) | yaSucced: крем для загара | spellerFail: крес для загара
(крем для загара -> урем доя загпрп) | yaSucced: крем для загара | spellerFail: крем доя загара
(коллекционная куколка в бутылочке -> уоллекционнпя ккколкв в бутвлочее) | yaSucced: коллекционная куколка в бутылочке | spellerFail: коллекционная куколка в бутылочек
